PERNR	SUBTY	BEGDA	BETRG
241340	0015	26.11.2015	0000004658.44
241373	0015	26.11.2015	0000006816.81
241375	0015	26.11.2015	0000002444.44
241376	0015	26.11.2015	0000001162.15
241379	0015	26.11.2015	0000008861.49
241383	0015	26.11.2015	0000001223.68
241385	0015	26.11.2015	0000000900.88
241406	0015	26.11.2015	0000009756.74
241413	0015	26.11.2015	0000003400.02
241416	0015	26.11.2015	0000001434.47
241437	0015	26.11.2015	0000000769.25
241440	0015	26.11.2015	0000002514.26
241442	0015	26.11.2015	0000002873.55
241444	0015	26.11.2015	0000001385.39
241456	0015	26.11.2015	0000001795.80
241462	0015	26.11.2015	0000003209.44
241470	0015	26.11.2015	0000000866.48
241476	0015	26.11.2015	0000002756.06
241481	0015	26.11.2015	0000003997.23
241495	0015	26.11.2015	0000002579.71
241502	0015	26.11.2015	0000000609.98
241516	0015	26.11.2015	0000001849.22
241517	0015	26.11.2015	0000005777.65
241522	0015	26.11.2015	0000001544.22
241525	0015	26.11.2015	0000002145.42
241556	0015	26.11.2015	0000000430.64
241557	0015	26.11.2015	0000001293.18
241566	0015	26.11.2015	0000003992.19
241576	0015	26.11.2015	0000001325.64
241577	0015	26.11.2015	0000006491.40
241587	0015	26.11.2015	0000001401.27
241605	0015	26.11.2015	0000003150.29
241608	0015	26.11.2015	0000001587.36
241610	0015	26.11.2015	0000002230.34
241621	0015	26.11.2015	0000002805.04
241624	0015	26.11.2015	0000005883.05
241633	0015	26.11.2015	0000000868.11
241635	0015	26.11.2015	0000001505.95
241641	0015	26.11.2015	0000009189.00
241654	0015	26.11.2015	0000001423.73
241655	0015	26.11.2015	0000001338.35
241673	0015	26.11.2015	0000004856.11
241675	0015	26.11.2015	0000004054.17
241677	0015	26.11.2015	0000001241.64
241682	0015	26.11.2015	0000002854.10
241686	0015	26.11.2015	0000004098.24
241688	0015	26.11.2015	0000002856.95
241689	0015	26.11.2015	0000004937.41
241695	0015	26.11.2015	0000006164.84
241702	0015	26.11.2015	0000001094.33
241706	0015	26.11.2015	0000000868.11
241739	0015	26.11.2015	0000004220.31
241741	0015	26.11.2015	0000002778.28
241754	0015	26.11.2015	0000001379.15
241755	0015	26.11.2015	0000005373.61
241761	0015	26.11.2015	0000003964.33
241763	0015	26.11.2015	0000000176.06
241764	0015	26.11.2015	0000001331.87
241770	0015	26.11.2015	0000001391.22
